employee_import_key,facility_id,facility_name,facility_type_name,department_id,department_name,department_type_id,department_type_name,is_department_manager,is_facility_manager,manager_import_key,full_name,first_name,last_name,phone_number,email,street_address,job_title,salary,hours_worked,employment_status,generated_source
EMP_2_4_0001,2,HOUSTON - MAIN OFFICE,Post Office,4,HAHOSHPO002_Delivery,2,Delivery,1,1,,Tricia Roman,Tricia,Roman,555-303-7177,tricia.roman.2.4.1@postal-demo.local,39117 Tiffany Place,Delivery Manager,99300.0,2016,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_4_0002,2,HOUSTON - MAIN OFFICE,Post Office,4,HAHOSHPO002_Delivery,2,Delivery,0,0,EMP_2_4_0001,Katie Anderson,Katie,Anderson,555-651-7027,katie.anderson.2.4.2@postal-demo.local,248 Brandt Plains Apt. 465,Mail Carrier,50700.0,1906,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_4_0003,2,HOUSTON - MAIN OFFICE,Post Office,4,HAHOSHPO002_Delivery,2,Delivery,0,0,EMP_2_4_0001,Samuel Holmes,Samuel,Holmes,555-865-1874,samuel.holmes.2.4.3@postal-demo.local,31509 Brianna Avenue,Rural Carrier,57300.0,2142,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_4_0004,2,HOUSTON - MAIN OFFICE,Post Office,4,HAHOSHPO002_Delivery,2,Delivery,0,0,EMP_2_4_0001,Chad Welch,Chad,Welch,555-872-4486,chad.welch.2.4.4@postal-demo.local,05183 Caldwell Forest,Mail Carrier,47700.0,1934,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_4_0005,2,HOUSTON - MAIN OFFICE,Post Office,4,HAHOSHPO002_Delivery,2,Delivery,0,0,EMP_2_4_0001,Amber Cummings,Amber,Cummings,555-745-8493,amber.cummings.2.4.5@postal-demo.local,76311 Gomez Loop Suite 010,City Carrier,58000.0,1852,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_5_0001,2,HOUSTON - MAIN OFFICE,Post Office,5,HAHOSHPO002_Logistics,3,Logistics,1,0,,Richard Morgan,Richard,Morgan,555-828-8022,richard.morgan.2.5.1@postal-demo.local,33872 White Mountain,Logistics Manager,97100.0,2083,Full-Time,staffing_plan_employee_generation.ipynb
EMP_2_5_0002,2,HOUSTON - MAIN OFFICE,Post Office,5,HAHOSHPO002_Logistics,3,Logistics,0,0,EMP_2_5_0001,John Leblanc,John,Leblanc,555-421-8025,john.leblanc.2.5.2@postal-demo.local,108 Tanya Terrace Apt. 267,Logistics Associate,49100.0,2027,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_21_0001,3,HOUSTON - EASTWOOD STATION,Post Office,21,HAHOEPO023_Retail Services,1,Retail Services,1,0,,Timothy Hancock,Timothy,Hancock,555-229-2258,timothy.hancock.3.21.1@postal-demo.local,60647 Henderson Street,Retail Services Manager,86300.0,1936,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_21_0002,3,HOUSTON - EASTWOOD STATION,Post Office,21,HAHOEPO023_Retail Services,1,Retail Services,0,0,EMP_3_21_0001,Wendy Peters,Wendy,Peters,555-291-6889,wendy.peters.3.21.2@postal-demo.local,34309 Julie Centers Apt. 978,Window Clerk,49900.0,2048,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_21_0003,3,HOUSTON - EASTWOOD STATION,Post Office,21,HAHOEPO023_Retail Services,1,Retail Services,0,0,EMP_3_21_0001,Samantha Schmidt,Samantha,Schmidt,555-659-6711,samantha.schmidt.3.21.3@postal-demo.local,121 Emma Freeway,Retail Associate,45700.0,1881,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_22_0001,3,HOUSTON - EASTWOOD STATION,Post Office,22,HAHOEPO023_Delivery,2,Delivery,1,1,,Richard David,Richard,David,555-835-3735,richard.david.3.22.1@postal-demo.local,909 Robert Prairie,Delivery Manager,100300.0,2061,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_22_0002,3,HOUSTON - EASTWOOD STATION,Post Office,22,HAHOEPO023_Delivery,2,Delivery,0,0,EMP_3_22_0001,Annette Stewart,Annette,Stewart,555-224-9843,annette.stewart.3.22.2@postal-demo.local,53462 Bryant Terrace Apt. 079,City Carrier,47500.0,1993,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_22_0003,3,HOUSTON - EASTWOOD STATION,Post Office,22,HAHOEPO023_Delivery,2,Delivery,0,0,EMP_3_22_0001,Yolanda Ferrell,Yolanda,Ferrell,555-227-3105,yolanda.ferrell.3.22.3@postal-demo.local,384 Sarah Cliff,Mail Carrier,43100.0,1414,Part-Time,staffing_plan_employee_generation.ipynb
EMP_3_22_0004,3,HOUSTON - EASTWOOD STATION,Post Office,22,HAHOEPO023_Delivery,2,Delivery,0,0,EMP_3_22_0001,Natasha Wood,Natasha,Wood,555-424-4908,natasha.wood.3.22.4@postal-demo.local,8498 Elizabeth Plaza,Delivery Associate,44500.0,2045,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_22_0005,3,HOUSTON - EASTWOOD STATION,Post Office,22,HAHOEPO023_Delivery,2,Delivery,0,0,EMP_3_22_0001,Kevin Alvarado,Kevin,Alvarado,555-995-6978,kevin.alvarado.3.22.5@postal-demo.local,1182 Campbell Fords,Rural Carrier,50100.0,1996,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_23_0001,3,HOUSTON - EASTWOOD STATION,Post Office,23,HAHOEPO023_Logistics,3,Logistics,1,0,,Jennifer Harris,Jennifer,Harris,555-456-2502,jennifer.harris.3.23.1@postal-demo.local,740 Cynthia Village Suite 005,Logistics Manager,97500.0,1967,Full-Time,staffing_plan_employee_generation.ipynb
EMP_3_23_0002,3,HOUSTON - EASTWOOD STATION,Post Office,23,HAHOEPO023_Logistics,3,Logistics,0,0,EMP_3_23_0001,Kellie Walsh,Kellie,Walsh,555-218-7943,kellie.walsh.3.23.2@postal-demo.local,78680 Charles Spurs Apt. 805,Logistics Associate,53900.0,2012,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_6_0001,4,HOUSTON - T W HOUSE,Post Office,6,HAHOTWHPO008_Retail Services,1,Retail Services,1,0,,Brandi Hernandez,Brandi,Hernandez,555-328-9104,brandi.hernandez.4.6.1@postal-demo.local,45053 Elizabeth Knoll,Retail Services Manager,89300.0,2025,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_6_0002,4,HOUSTON - T W HOUSE,Post Office,6,HAHOTWHPO008_Retail Services,1,Retail Services,0,0,EMP_4_6_0001,Kimberly Henson,Kimberly,Henson,555-597-7266,kimberly.henson.4.6.2@postal-demo.local,232 Nicole Burg Apt. 563,Window Clerk,44200.0,1908,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_6_0003,4,HOUSTON - T W HOUSE,Post Office,6,HAHOTWHPO008_Retail Services,1,Retail Services,0,0,EMP_4_6_0001,Joseph Cobb,Joseph,Cobb,555-504-7152,joseph.cobb.4.6.3@postal-demo.local,0733 Bailey View,Retail Associate,46500.0,1976,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_7_0001,4,HOUSTON - T W HOUSE,Post Office,7,HAHOTWHPO008_Delivery,2,Delivery,1,1,,Laura Perez,Laura,Perez,555-270-4082,laura.perez.4.7.1@postal-demo.local,365 Lin Trail,Delivery Manager,104500.0,1891,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_7_0002,4,HOUSTON - T W HOUSE,Post Office,7,HAHOTWHPO008_Delivery,2,Delivery,0,0,EMP_4_7_0001,Joshua May,Joshua,May,555-492-9176,joshua.may.4.7.2@postal-demo.local,850 Natalie Green Apt. 940,Rural Carrier,55900.0,1174,Part-Time,staffing_plan_employee_generation.ipynb
EMP_4_7_0003,4,HOUSTON - T W HOUSE,Post Office,7,HAHOTWHPO008_Delivery,2,Delivery,0,0,EMP_4_7_0001,Daniel Hamilton,Daniel,Hamilton,555-412-3371,daniel.hamilton.4.7.3@postal-demo.local,9816 Jonathan Station Suite 088,Mail Carrier,47200.0,1330,Part-Time,staffing_plan_employee_generation.ipynb
EMP_4_7_0004,4,HOUSTON - T W HOUSE,Post Office,7,HAHOTWHPO008_Delivery,2,Delivery,0,0,EMP_4_7_0001,Gloria Bentley,Gloria,Bentley,555-788-3449,gloria.bentley.4.7.4@postal-demo.local,6159 Alvarado Crossing,City Carrier,43900.0,2006,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_7_0005,4,HOUSTON - T W HOUSE,Post Office,7,HAHOTWHPO008_Delivery,2,Delivery,0,0,EMP_4_7_0001,Jennifer Evans,Jennifer,Evans,555-921-7335,jennifer.evans.4.7.5@postal-demo.local,656 Spencer Fields Suite 629,City Carrier,56400.0,1957,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_8_0001,4,HOUSTON - T W HOUSE,Post Office,8,HAHOTWHPO008_Logistics,3,Logistics,1,0,,Ashley Sullivan,Ashley,Sullivan,555-662-5921,ashley.sullivan.4.8.1@postal-demo.local,4369 Marshall Mills,Logistics Manager,97400.0,1912,Full-Time,staffing_plan_employee_generation.ipynb
EMP_4_8_0002,4,HOUSTON - T W HOUSE,Post Office,8,HAHOTWHPO008_Logistics,3,Logistics,0,0,EMP_4_8_0001,Emma Dixon,Emma,Dixon,555-215-7825,emma.dixon.4.8.2@postal-demo.local,148 Davis Terrace,Routing Clerk,54300.0,1298,Part-Time,staffing_plan_employee_generation.ipynb
EMP_5_9_0001,5,USPS North Houston TX Distribution Center,Mail Processing,9,HAHOUNHTDC998_Administrative,6,Administrative,1,0,,Jimmy Collins,Jimmy,Collins,555-446-6645,jimmy.collins.5.9.1@postal-demo.local,00379 Stanley Roads,Administrative Manager,84900.0,1899,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_9_0002,5,USPS North Houston TX Distribution Center,Mail Processing,9,HAHOUNHTDC998_Administrative,6,Administrative,0,0,EMP_5_9_0001,Barbara Higgins,Barbara,Higgins,555-666-6658,barbara.higgins.5.9.2@postal-demo.local,6320 Kimberly Forges Apt. 870,Administrative Assistant,53600.0,1995,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_9_0003,5,USPS North Houston TX Distribution Center,Mail Processing,9,HAHOUNHTDC998_Administrative,6,Administrative,0,0,EMP_5_9_0001,Angela Lowery,Angela,Lowery,555-343-5445,angela.lowery.5.9.3@postal-demo.local,2788 Dodson Mills,Administrative Assistant,45900.0,2081,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0001,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,1,0,,Cheyenne Ball,Cheyenne,Ball,555-741-1930,cheyenne.ball.5.10.1@postal-demo.local,727 Green Gateway Suite 873,Logistics Manager,81400.0,1911,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0002,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,0,0,EMP_5_10_0001,Joshua Jones,Joshua,Jones,555-669-3699,joshua.jones.5.10.2@postal-demo.local,45581 Edward Lights Apt. 316,Transportation Clerk,59700.0,2053,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0003,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,0,0,EMP_5_10_0001,Rick Daniels,Rick,Daniels,555-689-6317,rick.daniels.5.10.3@postal-demo.local,36690 Woods Knoll Suite 668,Routing Clerk,40400.0,1903,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0004,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,0,0,EMP_5_10_0001,Julie Payne,Julie,Payne,555-965-5203,julie.payne.5.10.4@postal-demo.local,3467 Paul Skyway,Transportation Clerk,41200.0,1879,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0005,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,0,0,EMP_5_10_0001,Erin Powell,Erin,Powell,555-736-5415,erin.powell.5.10.5@postal-demo.local,2980 Vargas Shore,Routing Clerk,58700.0,1906,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0006,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,0,0,EMP_5_10_0001,Anthony Day,Anthony,Day,555-656-8267,anthony.day.5.10.6@postal-demo.local,2046 Lewis Islands,Routing Clerk,59000.0,1966,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0007,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,0,0,EMP_5_10_0001,Matthew Hobbs,Matthew,Hobbs,555-878-4949,matthew.hobbs.5.10.7@postal-demo.local,4170 Zoe Keys Apt. 100,Routing Clerk,40400.0,1977,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_10_0008,5,USPS North Houston TX Distribution Center,Mail Processing,10,HAHOUNHTDC998_Logistics,3,Logistics,0,0,EMP_5_10_0001,Stefanie Gonzalez,Stefanie,Gonzalez,555-860-5884,stefanie.gonzalez.5.10.8@postal-demo.local,232 Caldwell Port,Mail Handler,46000.0,1232,Part-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0001,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,1,1,,Stacie Marshall,Stacie,Marshall,555-286-6993,stacie.marshall.5.11.1@postal-demo.local,2991 Tami Coves Apt. 496,Operations Manager,107400.0,2085,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0002,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Randy Espinoza,Randy,Espinoza,555-394-6934,randy.espinoza.5.11.2@postal-demo.local,314 Laura Port,Operations Associate,61700.0,2179,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0003,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Kimberly Reed,Kimberly,Reed,555-814-6531,kimberly.reed.5.11.3@postal-demo.local,518 Smith Manor Suite 165,Plant Operations Clerk,67400.0,1930,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0004,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Cynthia Poole,Cynthia,Poole,555-312-5993,cynthia.poole.5.11.4@postal-demo.local,2849 Marshall Views,Operations Associate,53500.0,1958,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0005,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Jessica Adams,Jessica,Adams,555-863-9667,jessica.adams.5.11.5@postal-demo.local,47379 Rogers Park,Sortation Worker,49600.0,2184,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0006,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Melissa White,Melissa,White,555-696-5634,melissa.white.5.11.6@postal-demo.local,4549 Peters Path,Plant Operations Clerk,50800.0,2197,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0007,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Stacy Miller,Stacy,Miller,555-947-5797,stacy.miller.5.11.7@postal-demo.local,8377 Mcguire Course Suite 363,Processing Clerk,51800.0,2002,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0008,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Kevin Perkins,Kevin,Perkins,555-321-9024,kevin.perkins.5.11.8@postal-demo.local,856 Bell Motorway Suite 443,Processing Clerk,62200.0,1408,Part-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0009,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,David Lee,David,Lee,555-911-2043,david.lee.5.11.9@postal-demo.local,823 Joanna Harbor,Operations Associate,55800.0,1089,Part-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0010,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Jenny Bray,Jenny,Bray,555-468-6954,jenny.bray.5.11.10@postal-demo.local,34352 Smith Place Apt. 400,Sortation Worker,53500.0,2161,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0011,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Angela Terry,Angela,Terry,555-275-4419,angela.terry.5.11.11@postal-demo.local,710 Harrison Mill,Sortation Worker,45100.0,2178,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_11_0012,5,USPS North Houston TX Distribution Center,Mail Processing,11,HAHOUNHTDC998_Operations,4,Operations,0,0,EMP_5_11_0001,Matthew Sheppard,Matthew,Sheppard,555-225-2104,matthew.sheppard.5.11.12@postal-demo.local,1167 Barbara Spur Apt. 229,Processing Clerk,64100.0,2163,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_1081_0001,5,USPS North Houston TX Distribution Center,Mail Processing,1081,HAHOUNHTDC998_Maintenance,5,Maintenance,1,0,,Stacy Miller,Stacy,Miller,555-796-2613,stacy.miller.5.1081.1@postal-demo.local,86999 Kimberly Light,Maintenance Manager,83800.0,1978,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_1081_0002,5,USPS North Houston TX Distribution Center,Mail Processing,1081,HAHOUNHTDC998_Maintenance,5,Maintenance,0,0,EMP_5_1081_0001,Shannon Ramos,Shannon,Ramos,555-678-1403,shannon.ramos.5.1081.2@postal-demo.local,9909 Stacey Fords Apt. 412,Maintenance Technician,52700.0,1086,Part-Time,staffing_plan_employee_generation.ipynb
EMP_5_1081_0003,5,USPS North Houston TX Distribution Center,Mail Processing,1081,HAHOUNHTDC998_Maintenance,5,Maintenance,0,0,EMP_5_1081_0001,John Arnold,John,Arnold,555-456-9745,john.arnold.5.1081.3@postal-demo.local,67974 Jesse Squares,Vehicle Technician,58000.0,2002,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_1081_0004,5,USPS North Houston TX Distribution Center,Mail Processing,1081,HAHOUNHTDC998_Maintenance,5,Maintenance,0,0,EMP_5_1081_0001,Justin Heath,Justin,Heath,555-314-2568,justin.heath.5.1081.4@postal-demo.local,349 Ronald Plains,Maintenance Technician,52700.0,1896,Full-Time,staffing_plan_employee_generation.ipynb
EMP_5_1081_0005,5,USPS North Houston TX Distribution Center,Mail Processing,1081,HAHOUNHTDC998_Maintenance,5,Maintenance,0,0,EMP_5_1081_0001,Jeffrey Hernandez,Jeffrey,Hernandez,555-974-2096,jeffrey.hernandez.5.1081.5@postal-demo.local,10249 Gonzales Mountain Suite 648,Vehicle Technician,58100.0,2175,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_12_0001,6,South Houston Local Processing Center,Network Facilities,12,FOMISHLPC904_Delivery,2,Delivery,1,0,,Amber Kim,Amber,Kim,555-812-6229,amber.kim.6.12.1@postal-demo.local,5940 Jeremy Spring,Delivery Manager,93200.0,1996,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_12_0002,6,South Houston Local Processing Center,Network Facilities,12,FOMISHLPC904_Delivery,2,Delivery,0,0,EMP_6_12_0001,Mary Johnston,Mary,Johnston,555-359-1225,mary.johnston.6.12.2@postal-demo.local,490 Thomas Run,Delivery Associate,43600.0,2109,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_12_0003,6,South Houston Local Processing Center,Network Facilities,12,FOMISHLPC904_Delivery,2,Delivery,0,0,EMP_6_12_0001,Scott Ramirez,Scott,Ramirez,555-546-2113,scott.ramirez.6.12.3@postal-demo.local,717 Ortiz Islands Apt. 256,Delivery Associate,60500.0,1878,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_12_0004,6,South Houston Local Processing Center,Network Facilities,12,FOMISHLPC904_Delivery,2,Delivery,0,0,EMP_6_12_0001,Heather Roberts,Heather,Roberts,555-517-2189,heather.roberts.6.12.4@postal-demo.local,071 King Crescent Suite 808,Rural Carrier,52100.0,2082,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_12_0005,6,South Houston Local Processing Center,Network Facilities,12,FOMISHLPC904_Delivery,2,Delivery,0,0,EMP_6_12_0001,Steven Brown,Steven,Brown,555-616-3577,steven.brown.6.12.5@postal-demo.local,770 Joseph Curve Suite 771,Mail Carrier,60400.0,1199,Part-Time,staffing_plan_employee_generation.ipynb
EMP_6_13_0001,6,South Houston Local Processing Center,Network Facilities,13,FOMISHLPC904_Logistics,3,Logistics,1,0,,Anthony Mccoy,Anthony,Mccoy,555-676-5996,anthony.mccoy.6.13.1@postal-demo.local,248 Andrea Course,Logistics Manager,78500.0,1902,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_13_0002,6,South Houston Local Processing Center,Network Facilities,13,FOMISHLPC904_Logistics,3,Logistics,0,0,EMP_6_13_0001,Jeffrey Skinner,Jeffrey,Skinner,555-706-7509,jeffrey.skinner.6.13.2@postal-demo.local,1274 Perry Orchard,Mail Handler,54900.0,1997,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_13_0003,6,South Houston Local Processing Center,Network Facilities,13,FOMISHLPC904_Logistics,3,Logistics,0,0,EMP_6_13_0001,Tina Sanchez,Tina,Sanchez,555-332-6363,tina.sanchez.6.13.3@postal-demo.local,3982 Joshua Turnpike,Mail Handler,58600.0,1343,Part-Time,staffing_plan_employee_generation.ipynb
EMP_6_13_0004,6,South Houston Local Processing Center,Network Facilities,13,FOMISHLPC904_Logistics,3,Logistics,0,0,EMP_6_13_0001,Melissa Morgan,Melissa,Morgan,555-842-6708,melissa.morgan.6.13.4@postal-demo.local,44997 Sean Orchard Suite 588,Transportation Clerk,56900.0,1856,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_13_0005,6,South Houston Local Processing Center,Network Facilities,13,FOMISHLPC904_Logistics,3,Logistics,0,0,EMP_6_13_0001,Nicholas Cantu,Nicholas,Cantu,555-430-8464,nicholas.cantu.6.13.5@postal-demo.local,396 Melissa Loop,Routing Clerk,55900.0,2012,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_13_0006,6,South Houston Local Processing Center,Network Facilities,13,FOMISHLPC904_Logistics,3,Logistics,0,0,EMP_6_13_0001,Bradley Garner,Bradley,Garner,555-385-7885,bradley.garner.6.13.6@postal-demo.local,2702 Kane Well Suite 187,Logistics Associate,58600.0,2154,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_13_0007,6,South Houston Local Processing Center,Network Facilities,13,FOMISHLPC904_Logistics,3,Logistics,0,0,EMP_6_13_0001,Alexis Thomas,Alexis,Thomas,555-431-4712,alexis.thomas.6.13.7@postal-demo.local,74596 Melissa Walk,Mail Handler,47400.0,2175,Full-Time,staffing_plan_employee_generation.ipynb
EMP_6_14_0001,6,South Houston Local Processing Center,Network Facilities,14,FOMISHLPC904_Operations,4,Operations,1,1,,Emily Ferguson,Emily,Ferguson,555-290-6866,emily.ferguson.6.14.1@postal-demo.local,780 Jimmy Spur Suite 316,Operations Manager,108700.0,2187,Full-Time,staffing_plan_employee_generation.ipynb
