package_id_hex,recipient_address,recipient_territory_id,sender_address,sender_territory_id,estimated_delivery_distance,recipient_first_name,recipient_middle_initial,recipient_last_name,expected_delivery_date,delivered_date
81dafc1c2331535e9aeef2a198d4540e,"7919 Mockingbird Rd, Garland, TX 75041",37,"8998 Rio Vista Ave, Marshall, TX 75670",431,131.35,Gabriel,N,Anderson,,
d3945e7b26235b9194043ca9a7ff5493,"4286 Sunset Ridge Ct, Harker Heights, TX 76548",1021,"2987 Cypress Ct, Kingwood, TX 77339",1411,160.11,Aaron,S,Anderson,,
78f0849437185d7da5d6e23e97ef40fe,"6679 Pecan Grove Rd, Texas City, TX 77590",1633,"4149 Live Oak Dr, Sanger, TX 76266",812,307.03,Priya,C,Vasquez,,
855bccdb045857f3a7514a2192f1b674,"604 Bluebonnet Ln, Dallas, TX 75243",204,"3833 Post Oak Blvd, Jacksonville, TX 75766",492,109.33,Whitney,Y,Anderson,,
3211bc7d06c5509fbb1086720dbce8fb,"5263 Live Oak Blvd, Killeen, TX 76543",1018,"4130 Magnolia Dr, Humble, TX 77346",1417,166.14,Luis,V,Ramirez,,
fe4a83acaee0582cbc0209332d1520d7,"8004 Brazos Ln, El Paso, TX 79925",2949,"3547 Lone Star Dr, Little Elm, TX 75068",63,556.48,Daniel,Y,Kim,,
8f3ee6cebd1154e29e6f01735660cd57,"7728 Live Oak Ln, New Braunfels, TX 78130",1915,"5468 Brazos Ct, Killeen, TX 76549",1022,92.59,Zoe,L,Ramirez,,
f2d6b65b41d5569b81d8c59e4e03b1d3,"341 Bluebonnet Ave, Lubbock, TX 79423",2753,"6872 Bluebonnet Ave, Coahoma, TX 79511",2769,77.1,Luis,E,Nguyen,,
bd311c4df06d5eb7938e21a385d90436,"9677 Mesquite Ave, San Antonio, TX 78223",1973,"1886 Sunset Ridge Dr, Edinburg, TX 78542",2112,198.9,Jasmine,,Walker,,
c6431cb59c7259189eacb5c295e01608,"1500 Cypress Dr, Denton, TX 76208",761,"6082 Mesquite Ave, Keller, TX 76244",785,23.15,Danielle,K,Taylor,,
f53a797f5cf6515f88cdf90ef62f713e,"8205 Live Oak Ave, Houston, TX 77082",1365,"6834 Sunset Ridge Dr, Elgin, TX 78621",2198,111.23,Nathan,X,Garcia,,
e495305fa93c557697b8b8c88adf9559,"2653 Magnolia Way, Dickinson, TX 77539",1594,"4573 Rio Vista Way, Houston, TX 77093",1378,33.82,Alyssa,G,Flores,,
5bad1613abea52f9af6ed1b4530e9468,"824 Post Oak Blvd, Houston, TX 77072",1354,"3231 Cypress Ln, Dickinson, TX 77539",1594,37.55,Preston,A,Nguyen,,
cb29d61fb6875dde82c83099e9adc13c,"2205 Cedar Creek Ln, Houston, TX 77065",1347,"2518 Pecan Grove Dr, Mission, TX 78574",2141,301.45,Sofia,,Vasquez,,
c14c1ae39fd35539a4f2408497f865aa,"6504 Mesquite Ave, Frisco, TX 75033",28,"6086 Lone Star Dr, Cleburne, TX 76033",650,73.47,Samuel,K,Lee,,
4d539250cf715a6eadbed1f65cfa8662,"7430 Hill Country Ln, Houston, TX 77062",1344,"9184 Brazos Dr, Magnolia, TX 77355",1421,54.59,Samuel,,Martinez,,
761a4663335859dd9d32b4cc716a66da,"1353 Post Oak Blvd, Houston, TX 77049",1331,"4432 Sunset Ridge Ln, Humble, TX 77338",1410,14.52,Jasmine,U,Flores,,
55ba3cc4923f56ac9b20165825f728bf,"2451 Mesquite Rd, Harlingen, TX 78550",2118,"6897 Rio Vista Ln, Dallas, TX 75253",214,447.93,Hannah,,Flores,,
f8bf72b73d7756b7885b9503b068e798,"2063 Prairie Bend Blvd, Houston, TX 77020",1300,"9685 Brazos Blvd, Dallas, TX 75231",194,231.0,Sofia,W,Johnson,,
67bc5798ec6254219dd2e61bf74685fc,"1647 Live Oak Ln, Grand Prairie, TX 75052",48,"9441 Cypress Dr, Dallas, TX 75254",215,23.47,Xavier,A,Patel,,
797628ee866556cc87891907d047094e,"1356 Pecan Grove St, Houston, TX 77024",1304,"5570 Live Oak Blvd, Kingwood, TX 77345",1416,28.67,Gabriela,D,Edwards,,
7cfc278ec34f52bda47185e82101301b,"1306 Prairie Bend Ln, Leander, TX 78641",2233,"4214 Magnolia Blvd, Frisco, TX 75035",31,191.69,Whitney,N,Edwards,,
eec404c5c9645c60b6ba11b49e357e77,"4784 Bluebonnet Ln, Pflugerville, TX 78660",2261,"8905 Cedar Creek Way, Odessa, TX 79764",2892,305.09,Whitney,W,Edwards,,
63c01bd983bd5d2d88daf8397e699f3f,"6512 Hill Country Ct, Dallas, TX 75249",210,"6985 Sunset Ridge Way, Wichita Falls, TX 76309",831,125.74,Preston,V,Kim,,
99efa51049115066a89fb2fdf067751a,"1759 Hill Country Blvd, Conroe, TX 77306",1390,"6296 Mesquite Ln, Arlington, TX 76002",624,192.85,Tara,X,Ortiz,,
c6d5e821f3c15d20bbabf1615f35571a,"9267 Trinity Ave, Friendswood, TX 77546",1599,"4029 Mockingbird Dr, Spring, TX 77382",1457,51.9,Jasmine,U,Edwards,,
a54c51f1062758e3822525172a5c0239,"3463 Magnolia St, Mesquite, TX 75150",132,"7033 Live Oak Ave, Houston, TX 77055",1337,219.07,Tara,G,Edwards,,
bd07f4ecf63e52a8bea3dd48bb77445a,"964 Lone Star Way, Iowa Park, TX 76367",848,"5174 Brazos Way, Fort Worth, TX 76148",749,113.89,Isabel,,Garcia,,
fc2f9004b01158ce8f465b78c46798e4,"6853 Rio Vista Way, Denton, TX 76201",757,"9294 Cypress St, San Antonio, TX 78250",1999,272.06,Samuel,,Patel,,
111dc46ede905f88925b9f9b718440f7,"8369 Live Oak Ct, Point, TX 75472",302,"8507 Prairie Bend Ln, Houston, TX 77004",1284,220.86,Xavier,R,Bennett,,
9e22d7122c735e54912cc23297ab4e6d,"4600 Magnolia Dr, San Antonio, TX 78227",1978,"4490 Bluebonnet Way, San Antonio, TX 78258",2009,18.75,Lauren,F,Ramirez,,
38a30357dbb253ba8364a70cf5ac04fe,"2418 Cypress Blvd, Conroe, TX 77306",1390,"2433 Mockingbird Ave, Austin, TX 78758",2342,142.91,Ethan,V,Edwards,,
2c34e1a8fe495790a107712a5de3013e,"6726 Post Oak Ct, Flower Mound, TX 75022",17,"1320 Hill Country Way, Amarillo, TX 79118",2594,301.27,Priya,O,Bennett,,
3fa9a03c52e75ee7bb95207884d20e36,"7598 Lone Star Ln, Houston, TX 77042",1323,"562 Lone Star Dr, Austin, TX 78741",2326,133.24,Lauren,,Garcia,,
23bb0633a0c65e179079bb469740219c,"8135 Lone Star Rd, Fort Worth, TX 76140",748,"7778 Trinity Way, Houston, TX 77033",1314,233.79,Valerie,W,Diaz,,
7a4b51c60c5454f88138625bd09bcfe8,"6293 Cypress Ct, Houston, TX 77008",1288,"4021 Cedar Creek Rd, Round Rock, TX 78665",2272,142.36,Danielle,F,Bennett,,
5a1a823f077356ad9e76790425a7c722,"7196 Post Oak Rd, Boerne, TX 78006",1797,"7525 Sunset Ridge Ave, El Paso, TX 79911",2942,485.09,Caleb,N,Lee,,
f720a5468e355603853fd22096100939,"8712 Trinity Ave, Houston, TX 77020",1300,"4680 Mesquite Ct, Bastrop, TX 78602",2166,123.4,Lauren,J,Diaz,,
638bb17ed15f5034adff9f7fa14a5986,"4090 Cedar Creek Dr, Houston, TX 77080",1362,"3004 Mockingbird Blvd, Houston, TX 77079",1361,5.54,Aaron,K,Johnson,,
01889f610972515aa92e914ff1531860,"5912 Mesquite Ct, Dallas, TX 75241",203,"9016 Trinity Ave, Fort Hood, TX 76544",1019,115.21,Maya,R,Ramirez,,
c48937a613895af381bc8d43bd2a1cd9,"6861 Hill Country Ave, Arlington, TX 76011",631,"1185 Bluebonnet Ave, San Antonio, TX 78249",1998,238.07,Daniel,,Castillo,,
a4f6f4dfa49556aa9bf924972530555a,"4659 Mesquite Rd, Houston, TX 77083",1367,"6494 Rio Vista Ln, Houston, TX 77099",1384,4.13,Gabriela,T,Johnson,,
eeab5cc0dc125891a59b7fad5742e8f4,"5683 Post Oak Rd, Spring, TX 77379",1454,"3396 Trinity Way, Aubrey, TX 76227",767,239.38,Xavier,H,Hayes,,
e4eb407e87255381bd9791bcfa509d67,"5359 Mesquite St, New Braunfels, TX 78130",1915,"5205 Hill Country Rd, El Paso, TX 79924",2948,518.1,Danielle,,Ramirez,,
4dbbeb2b112e5887b6e2bccb5bd154e5,"236 Bluebonnet Dr, Victoria, TX 77904",1740,"4675 Prairie Bend Rd, Houston, TX 77056",1338,110.26,Thomas,W,Garcia,,
2c78a4e04fd557938c9a0bf79c31e732,"117 Mockingbird Blvd, Fort Worth, TX 76131",742,"6091 Sunset Ridge Ln, El Paso, TX 79924",2948,533.0,Camila,,Hayes,,
467a78fd410c51439a515918870af3c2,"8462 Cedar Creek Ln, Sealy, TX 77474",1534,"9794 Post Oak St, Bulverde, TX 78163",1949,135.54,Wesley,X,Lee,,
744e066e0bdc5ac992c5430ec06f3060,"2017 Pecan Grove Ct, League City, TX 77573",1616,"5527 Post Oak Ln, Nacogdoches, TX 75964",603,148.6,Valerie,Z,Martinez,,
11536f5dad2c53b2b282727c324614fc,"8323 Brazos Ave, Mission, TX 78574",2141,"4485 Lone Star Way, Harlingen, TX 78550",2118,44.09,Ethan,I,Johnson,,
b4fdcbbd6b005eedac9320d667966260,"6492 Hill Country Ave, Dallas, TX 75212",178,"5595 Magnolia Dr, Cypress, TX 77433",1487,206.93,Valerie,C,Lee,,
dd9582369bf850c9b0cddf5baa7ba2f6,"369 Cypress Ct, Garland, TX 75043",39,"2710 Cedar Creek Blvd, Cameron, TX 76520",986,138.39,Rafael,W,Singh,,
6b55466fa65356c78765aad2802b5626,"6705 Hill Country Rd, Georgetown, TX 78633",2219,"5256 Brazos Ln, Houston, TX 77076",1358,153.92,Felix,,Taylor,,
f1f6a9c0dea558cdb8e5cba8b9e06074,"7712 Trinity Dr, Harker Heights, TX 76548",1021,"3160 Prairie Bend Rd, Freeport, TX 77541",1595,197.67,Felix,I,Nguyen,,
12a5c4b3cac252bcaae947a3666dbc72,"1222 Trinity Ave, Dallas, TX 75241",203,"8882 Mesquite Way, San Antonio, TX 78244",1994,239.68,Samuel,,Nguyen,,
0a64d6b6faad5cda9010bbc3329d461c,"8373 Rio Vista Ln, Garland, TX 75042",38,"7321 Trinity Blvd, Houston, TX 77032",1313,218.4,Tara,M,Hayes,,
199a2a0568da5f9d90a9d329ad22b70b,"6799 Rio Vista Ln, Crowley, TX 76036",657,"5346 Cypress Rd, Pflugerville, TX 78660",2261,147.56,Elena,M,Diaz,,
9b4bfed6cd7057f2b6c0a327bf6cc27b,"6992 Trinity Ave, Krum, TX 76249",790,"1543 Sunset Ridge Ln, Pearland, TX 77584",1628,282.51,Felix,U,Nguyen,,
57262d82497b57f494454f40598ad6c2,"5001 Brazos Dr, Rosenberg, TX 77471",1532,"7032 Mesquite Rd, Amarillo, TX 79109",2589,523.11,Alyssa,,Hayes,,
03803351ec725816823e370aed968767,"6061 Mesquite Ct, Lubbock, TX 79415",2751,"6670 Prairie Bend Way, Midland, TX 79703",2852,119.47,Ethan,,Diaz,,
dd85e713cd175920b7b57d73c9f1a246,"7538 Prairie Bend Way, Katy, TX 77449",1509,"1292 Magnolia Blvd, Austin, TX 78739",2325,131.07,Isaac,C,Walker,,
a78da8259ad0543682a99e373ec4650f,"7538 Prairie Bend Way, Katy, TX 77449",1509,"7635 Mockingbird Blvd, San Marcos, TX 78666",2276,134.51,Isaac,C,Walker,,
47c3f5abb0fc59328a1ec20761dccb1a,"5351 Mesquite Blvd, Houston, TX 77015",1295,"4778 Bluebonnet St, Pharr, TX 78577",2144,309.4,Xavier,V,Ramirez,,
a753cf47910159b9958cfb75d7ab95c3,"7649 Live Oak Blvd, Houston, TX 77005",1285,"1015 Trinity Rd, Roma, TX 78584",2150,307.54,Isabel,,Bennett,,
40572556905e54c5828e4bae6d94ad18,"4725 Mesquite Blvd, West Columbia, TX 77486",1553,"6254 Hill Country Way, Austin, TX 78725",2304,137.71,Hannah,K,Bennett,,
7d6266c0848c56ccaa6471bca13cbdb7,"7580 Post Oak Rd, Arlington, TX 76010",630,"9107 Hill Country Dr, Bryan, TX 77801",1683,149.96,Isabel,Z,Bennett,,
4a084496b5e750baaf42eca524e17aaf,"2636 Prairie Bend Ln, Houston, TX 77033",1314,"6552 Hill Country Rd, Lubbock, TX 79424",2755,468.82,Gabriel,Q,Diaz,,
7f3fa8e65a4a5bc28eea61922262dea4,"567 Live Oak Dr, Mckinney, TX 75071",66,"3205 Trinity Ln, Waco, TX 76705",1157,115.16,Sofia,T,Edwards,,
27f75d91eb6e5b4e8e3199bb8f1e7cec,"7747 Lone Star Blvd, Houston, TX 77053",1334,"9237 Brazos Rd, Beaumont, TX 77703",1677,88.84,Caleb,B,Walker,,
b23c0fa2d1595bb3bf5e539976225f42,"5939 Mesquite St, San Antonio, TX 78247",1996,"7791 Trinity Ct, Irving, TX 75062",58,241.51,Sofia,X,Singh,,
10e454997af757b4be9bf37ab02654bc,"7266 Post Oak Dr, Del Rio, TX 78840",2365,"3758 Post Oak Ave, Del Rio, TX 78840",2365,0.0,Gabriela,Z,Flores,,
ec4f3f42f877528ca08fff00e52162f3,"1582 Mesquite Ave, Grand Prairie, TX 75052",48,"2309 Prairie Bend Way, College Station, TX 77840",1702,147.79,Daniel,,Martinez,,
5cad9729352655c69d839640d851dbde,"550 Prairie Bend Ct, Quinlan, TX 75474",304,"9584 Mockingbird Way, San Antonio, TX 78233",1984,267.84,Samuel,,Lee,,
0ebf1c54512b5f2ab44ade3cdf2767d1,"8708 Mesquite Ct, Dallas, TX 75243",204,"8967 Mesquite Ave, Dallas, TX 75211",177,15.5,Elena,D,Martinez,,
6740fceb3f325e2caab701eed62453ff,"8782 Brazos Rd, Katy, TX 77449",1509,"6546 Cedar Creek Ave, Lubbock, TX 79424",2755,442.67,Ethan,Q,Flores,,
7693d586c24a5a4f827354cac47492a5,"8223 Rio Vista Ln, San Antonio, TX 78249",1998,"8205 Magnolia Rd, El Paso, TX 79915",2944,484.94,Omar,,Kim,,
4595496733f35cc5914a6a2cc4a977a3,"9246 Prairie Bend Ct, Houston, TX 77057",1339,"966 Pecan Grove Dr, Kingwood, TX 77339",1411,26.34,Lauren,F,Patel,,
42b9e312127953fa93f171a66f9681f6,"8693 Live Oak Way, Conroe, TX 77301",1386,"1519 Brazos Ave, Webster, TX 77598",1637,56.16,Victor,,Walker,,
5ddd107144fd5f04b3034a5265200806,"8635 Lone Star Way, Waco, TX 76705",1157,"2818 Mockingbird Way, Temple, TX 76502",976,41.31,Alyssa,P,Hayes,,
58e385ff2e05519ba6d0e5c340b98ebf,"5349 Cypress Way, Rosharon, TX 77583",1626,"3823 Live Oak Way, College Station, TX 77845",1704,95.35,Omar,I,Ortiz,,
54e58ccf4581526a89bc0b3b77ca5477,"3125 Hill Country Dr, Houston, TX 77006",1286,"4402 Sunset Ridge Dr, Austin, TX 78723",2302,142.67,Thomas,L,Kim,,
51efeccb1480549b99d1d6f173821f3f,"8993 Trinity St, Houston, TX 77062",1344,"855 Pecan Grove Ln, Groves, TX 77619",1646,77.37,Marcus,B,Kim,,
cae2e45d227e5e2592ee054072177fd2,"3246 Live Oak Way, Houston, TX 77084",1368,"6056 Trinity Blvd, Fort Worth, TX 76110",727,222.26,Ethan,N,Nguyen,,
d3283c5f8ccd54da91ac569f17fac2db,"9832 Lone Star Ct, Dallas, TX 75243",204,"8697 Mockingbird St, Waco, TX 76798",1165,97.04,Elena,U,Nguyen,,
2ed7e62e2e925204aedc8964a30e714a,"8902 Sunset Ridge Way, Huntsville, TX 77320",1397,"1096 Lone Star Way, Carrollton, TX 75006",4,168.38,Xavier,N,Castillo,,
ef0f2eb91567567e8b63ce5f4b6f3ae6,"1458 Post Oak Way, Hutto, TX 78634",2221,"9661 Prairie Bend Dr, Mcallen, TX 78504",2100,298.87,Lauren,A,Ramirez,,
9c50951dbee95bfa908a3631531cf357,"3741 Mockingbird Ln, Houston, TX 77051",1333,"352 Rio Vista St, El Paso, TX 79936",2956,664.41,Lauren,,Singh,,
adc77f378abb59e893e03b765894cf6c,"769 Pecan Grove Ct, Houston, TX 77044",1325,"7999 Bluebonnet Blvd, Austin, TX 78704",2294,156.6,Xavier,R,Taylor,,
6fabf31a86db5de0b2b5eebf8966976c,"5219 Mockingbird Dr, Garland, TX 75044",41,"6134 Hill Country Way, Godley, TX 76044",664,63.52,Camila,J,Ramirez,,
ef0ef3219ef45a6cb027a836a10895dc,"7632 Live Oak St, Roanoke, TX 76262",805,"7543 Prairie Bend Rd, Bremond, TX 76629",1073,132.73,Hannah,Y,Taylor,,
55f6a8e17b01539e973f89a313d42471,"6452 Cedar Creek Ct, Abilene, TX 79605",2847,"308 Pecan Grove Ln, Lubbock, TX 79424",2755,144.05,Preston,M,Anderson,,
055ecbab47af57bdac1aaeab413b1d5b,"4610 Live Oak Blvd, Houston, TX 77028",1308,"4710 Cedar Creek Ave, Richmond, TX 77406",1465,32.73,Luis,,Ramirez,,
8e2f141ae0085fafac16ebb4e7995bcb,"1240 Bluebonnet Way, Mckinney, TX 75071",66,"4631 Live Oak Blvd, San Antonio, TX 78229",1980,282.67,Thomas,O,Garcia,,
3b77ff70b26457c6a6c02898f51d561b,"3612 Cedar Creek Ln, Dallas, TX 75230",193,"385 Mockingbird Way, Copperas Cove, TX 76522",987,135.45,Isabel,A,Bennett,,
cb755197a19358eb92fa7e9cde9c1862,"7626 Live Oak St, Houston, TX 77079",1361,"1829 Bluebonnet Dr, Houston, TX 77007",1287,11.67,Rachel,V,Kim,,
d9b7807dfda2561ebb01b82637639584,"4833 Brazos Ct, San Antonio, TX 78221",1971,"9451 Hill Country Rd, Austin, TX 78735",2317,77.22,Luis,,Kim,,
3f74366816de58a8b6a5deac217d6ad6,"7915 Brazos Ct, Houston, TX 77091",1376,"8225 Lone Star Blvd, Austin, TX 78754",2339,135.98,Tara,,Walker,,
203284cfd75b52ae89fe8b0f5f22dd17,"5985 Brazos Blvd, Vidor, TX 77662",1668,"1165 Cedar Creek Rd, Houston, TX 77053",1334,95.59,Aaron,Z,Taylor,,
9e39004dbd975a68ae370e26ed90308a,"1419 Trinity Ct, Richmond, TX 77469",1530,"7135 Post Oak St, Sugar Land, TX 77479",1541,6.6,Caleb,Y,Ortiz,,
d64a129bb289572dac1af03e5213bb0f,"9320 Post Oak Blvd, Houston, TX 77005",1285,"156 Lone Star Ave, Mckinney, TX 75070",65,249.09,Priya,W,Hayes,,
d9e3538f0a435ecbafa2396faf066980,"669 Lone Star Ln, Grand Prairie, TX 75052",48,"9404 Mockingbird St, Killeen, TX 76549",1022,123.15,Lauren,M,Kim,,
f0f0cfff74df5bbbbcbc177b06f9ce02,"4476 Hill Country St, Corpus Christi, TX 78415",2093,"6435 Mockingbird Rd, San Antonio, TX 78232",1983,146.41,Samuel,S,Garcia,,
9c96f8a7cc2355fd940addc65010ef7e,"113 Prairie Bend Ln, Houston, TX 77067",1349,"8008 Cypress Ln, Austin, TX 78727",2306,139.51,Xavier,D,Lee,,
1caf8f9061da53a0afcb1384612570fc,"204 Rio Vista Way, Mission, TX 78573",2140,"4638 Rio Vista Blvd, Waco, TX 76711",1163,367.07,Ethan,K,Ortiz,,
56377c1c5e305f60a9cb44b032decf67,"136 Bluebonnet Rd, Tomball, TX 77375",1448,"1436 Cedar Creek Blvd, Prosper, TX 75078",72,229.19,Isabel,E,Walker,,
96fba03c690f567ab7e86358e913acc8,"8885 Post Oak Ln, Fort Worth, TX 76112",729,"5790 Brazos Ave, Mcallen, TX 78503",2099,459.27,Kayla,Z,Bennett,,
0ae51cf7b76555e791be86fd5364533e,"5523 Pecan Grove Way, San Antonio, TX 78211",1961,"118 Bluebonnet Rd, Corpus Christi, TX 78411",2089,132.66,Valerie,J,Johnson,,
cbd7f1ed472f545d958984df26a0800a,"8985 Bluebonnet Ln, Grand Prairie, TX 75051",46,"1830 Lone Star Ave, Houston, TX 77087",1372,232.58,Isabel,D,Vasquez,,
e0221b0dd8ea5af5892937cabc1e0a6b,"1593 Bluebonnet Way, Roma, TX 78584",2150,"4934 Pecan Grove Ct, Roma, TX 78584",2150,0.0,Hannah,M,Taylor,,
6c71f257b9fe54438fa6bea624d52159,"3140 Mesquite Ln, Frisco, TX 75033",28,"8826 Hill Country Way, Mckinney, TX 75072",67,8.27,Natalie,D,Singh,,
10812371479c529da3e3e77d28298dae,"4550 Mockingbird Ct, Mount Vernon, TX 75457",290,"133 Rio Vista Rd, San Antonio, TX 78212",1962,321.23,Hannah,E,Nguyen,,
